price,PriceCategory,Company,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,CityMileage,HighwayMileage
5118.0,1,SUBARU,std,hatchback,fwd,93.7,156.9,63.4,2050,ohcf,4,97,2bbl,3.62,69,31,36
5151.0,1,CHEVROLET,std,hatchback,fwd,88.4,141.1,60.3,1488,l,3,61,2bbl,2.91,48,47,53
5195.0,1,MAZDA,std,hatchback,fwd,93.1,159.1,64.2,1890,ohc,4,91,2bbl,3.03,68,30,31
5348.0,1,TOYOTA,std,hatchback,fwd,95.7,158.7,63.6,1985,ohc,4,92,2bbl,3.05,62,35,39
5389.0,1,MITSUBISHI,std,hatchback,fwd,93.7,157.3,64.4,1918,ohc,4,92,2bbl,2.97,68,37,41
5399.0,1,HONDA,std,hatchback,fwd,93.7,150.0,64.0,1837,ohc,4,79,1bbl,2.91,60,38,42
5499.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1889,ohc,4,97,2bbl,3.15,69,31,37
5572.0,1,PLYMOUTH,std,hatchback,fwd,93.7,157.3,63.8,1918,ohc,4,90,2bbl,2.97,68,37,41
5572.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,37,41
6095.0,1,MAZDA,std,hatchback,fwd,93.1,159.1,64.2,1900,ohc,4,91,2bbl,3.03,68,31,38
6189.0,1,MITSUBISHI,std,hatchback,fwd,93.7,157.3,64.4,1944,ohc,4,92,2bbl,2.97,68,31,38
6229.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38
6229.0,1,PLYMOUTH,std,hatchback,fwd,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38
6295.0,1,CHEVROLET,std,hatchback,fwd,94.5,155.9,63.6,1874,ohc,4,90,2bbl,3.03,70,38,43
6338.0,1,TOYOTA,std,hatchback,fwd,95.7,158.7,63.6,2040,ohc,4,92,2bbl,3.05,62,31,38
6377.0,1,DODGE,std,hatchback,fwd,93.7,157.3,63.8,1876,ohc,4,90,2bbl,2.97,68,31,38
6479.0,1,HONDA,std,hatchback,fwd,86.6,144.6,63.9,1713,ohc,4,92,1bbl,2.91,58,49,54
6488.0,1,TOYOTA,std,hatchback,fwd,95.7,158.7,63.6,2015,ohc,4,92,2bbl,3.05,62,31,38
6529.0,1,HONDA,std,hatchback,fwd,93.7,150.0,64.0,1940,ohc,4,92,1bbl,2.91,76,30,34
6575.0,1,CHEVROLET,std,sedan,fwd,94.5,158.8,63.6,1909,ohc,4,90,2bbl,3.03,70,38,43
6649.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1918,ohc,4,97,2bbl,3.15,69,31,37
6669.0,1,MITSUBISHI,std,hatchback,fwd,93.7,157.3,64.4,2004,ohc,4,92,2bbl,2.97,68,31,38
6692.0,1,DODGE,std,sedan,fwd,93.7,157.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38
6692.0,1,PLYMOUTH,std,sedan,fwd,93.7,167.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38
6695.0,1,MAZDA,std,sedan,fwd,93.1,166.8,64.2,1945,ohc,4,91,2bbl,3.03,68,31,38
6785.0,1,ISUZU,std,sedan,rwd,94.3,170.7,61.8,2337,ohc,4,111,2bbl,3.31,78,24,29
6795.0,1,MAZDA,std,hatchback,fwd,93.1,159.1,64.2,1905,ohc,4,91,2bbl,3.03,68,31,38
6849.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1938,ohc,4,97,2bbl,3.15,69,31,37
6855.0,1,HONDA,std,hatchback,fwd,86.6,144.6,63.9,1819,ohc,4,92,1bbl,2.91,76,31,38
6918.0,1,TOYOTA,std,wagon,fwd,95.7,169.7,63.6,2280,ohc,4,92,2bbl,3.05,62,31,37
6938.0,1,TOYOTA,std,sedan,fwd,95.7,166.3,64.4,2081,ohc,4,98,2bbl,3.19,70,30,37
6989.0,1,MITSUBISHI,std,sedan,fwd,96.3,172.4,65.4,2365,ohc,4,122,2bbl,3.35,88,25,32
7053.0,1,SUBARU,std,hatchback,fwd,93.7,157.9,63.6,2120,ohcf,4,108,2bbl,3.62,73,26,31
7099.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,2017,ohc,4,103,idi,2.99,55,45,50
7126.0,1,SUBARU,std,sedan,fwd,97.2,172.0,65.4,2145,ohcf,4,108,2bbl,3.62,82,32,37
7129.0,1,HONDA,std,hatchback,fwd,93.7,150.0,64.0,1956,ohc,4,92,1bbl,2.91,76,30,34
7198.0,1,TOYOTA,std,hatchback,fwd,95.7,166.3,64.4,2109,ohc,4,98,2bbl,3.19,70,30,37
7295.0,1,HONDA,std,sedan,fwd,96.5,163.4,64.0,2010,ohc,4,92,1bbl,2.91,76,30,34
7295.0,1,HONDA,std,wagon,fwd,96.5,157.1,63.9,2024,ohc,4,92,1bbl,2.92,76,30,34
7299.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1951,ohc,4,97,2bbl,3.15,69,31,37
7349.0,1,NISSAN,std,wagon,fwd,94.5,170.2,63.8,2024,ohc,4,97,2bbl,3.15,69,31,37
7395.0,1,MAZDA,std,sedan,fwd,93.1,166.8,64.2,1950,ohc,4,91,2bbl,3.08,68,31,38
7463.0,1,SUBARU,std,wagon,fwd,97.0,173.5,65.4,2290,ohcf,4,108,2bbl,3.62,82,28,32
7499.0,1,NISSAN,std,sedan,fwd,94.5,165.3,63.8,1971,ohc,4,97,2bbl,3.15,69,31,37
7603.0,1,SUBARU,std,hatchback,4wd,93.3,157.3,63.8,2240,ohcf,4,108,2bbl,3.62,73,26,31
7609.0,1,DODGE,std,sedan,fwd,93.7,157.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38
7609.0,1,PLYMOUTH,std,sedan,fwd,93.7,167.3,63.8,2191,ohc,4,98,2bbl,2.97,68,31,38
7689.0,1,MITSUBISHI,turbo,hatchback,fwd,93.0,157.3,63.8,2145,ohc,4,98,spdi,3.03,102,24,30
7738.0,1,TOYOTA,std,sedan,fwd,95.7,166.3,64.4,2094,ohc,4,98,2bbl,3.19,70,38,47
7775.0,1,SUBARU,std,sedan,fwd,97.2,172.0,65.4,2190,ohcf,4,108,2bbl,3.62,82,28,33
7775.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2261,ohc,4,97,idi,3.01,52,37,46
7788.0,1,TOYOTA,std,hatchback,fwd,95.7,166.3,64.4,2275,ohc,4,110,idi,3.27,56,38,47
7799.0,1,NISSAN,std,hatchback,fwd,94.5,165.6,63.8,2028,ohc,4,97,2bbl,3.15,69,31,37
7895.0,1,HONDA,std,hatchback,fwd,96.5,167.5,65.2,2236,ohc,4,110,1bbl,3.15,86,27,33
7898.0,1,TOYOTA,std,wagon,4wd,95.7,169.7,63.6,2290,ohc,4,92,2bbl,3.05,62,27,32
7898.0,1,TOYOTA,std,sedan,fwd,95.7,166.3,64.4,2275,ohc,4,110,idi,3.27,56,34,36
7957.0,1,PLYMOUTH,turbo,hatchback,fwd,93.7,157.3,63.8,2128,ohc,4,98,spdi,3.03,102,24,30
7957.0,1,DODGE,turbo,hatchback,fwd,93.7,157.3,63.8,2128,ohc,4,98,mpfi,3.03,102,24,30
7975.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2209,ohc,4,109,mpfi,3.19,85,27,34
7995.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2264,ohc,4,97,idi,3.01,52,37,46
7999.0,1,NISSAN,std,wagon,fwd,94.5,170.2,63.8,2037,ohc,4,97,2bbl,3.15,69,31,37
8013.0,1,SUBARU,std,wagon,4wd,96.9,173.6,65.4,2420,ohcf,4,108,2bbl,3.62,82,23,29
8058.0,1,TOYOTA,std,sedan,rwd,94.5,168.7,64.0,2169,ohc,4,98,2bbl,3.19,70,29,34
8189.0,1,MITSUBISHI,std,sedan,fwd,96.3,172.4,65.4,2405,ohc,4,122,2bbl,3.35,88,25,32
8195.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2212,ohc,4,109,mpfi,3.19,85,27,34
8238.0,1,TOYOTA,std,hatchback,rwd,94.5,168.7,64.0,2204,ohc,4,98,2bbl,3.19,70,29,34
8249.0,1,NISSAN,std,hardtop,fwd,95.1,162.4,63.8,2008,ohc,4,97,2bbl,3.15,69,31,37
8358.0,1,TOYOTA,std,hatchback,fwd,95.7,166.3,64.4,2122,ohc,4,98,2bbl,3.19,70,28,34
8449.0,1,TOYOTA,std,hardtop,rwd,98.4,176.2,65.6,2540,ohc,4,146,mpfi,3.62,116,24,30
8495.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2275,ohc,4,109,mpfi,3.19,85,27,34
8495.0,1,MAZDA,std,sedan,fwd,98.8,177.8,66.5,2410,ohc,4,122,2bbl,3.39,84,26,32
8499.0,1,MITSUBISHI,std,hatchback,fwd,96.3,173.0,65.4,2328,ohc,4,122,2bbl,3.35,88,25,32
8558.0,1,DODGE,turbo,sedan,fwd,93.7,157.3,63.8,2191,ohc,4,98,mpfi,3.03,102,24,30
8778.0,1,TOYOTA,std,wagon,4wd,95.7,169.7,63.6,3110,ohc,4,92,2bbl,3.05,62,27,32
8845.0,1,HONDA,std,sedan,fwd,96.5,175.4,65.2,2304,ohc,4,110,1bbl,3.15,86,27,33
8845.0,1,MAZDA,std,hatchback,fwd,98.8,177.8,66.5,2385,ohc,4,122,2bbl,3.39,84,26,32
8916.5,1,ISUZU,std,sedan,fwd,94.5,155.9,63.6,1909,ohc,4,90,2bbl,3.03,70,38,43
8916.5,1,ISUZU,std,sedan,fwd,94.5,155.9,63.6,1874,ohc,4,90,2bbl,3.03,70,38,43
8921.0,1,PLYMOUTH,std,wagon,fwd,103.3,174.6,64.6,2535,ohc,4,122,2bbl,3.35,88,24,30
8921.0,1,DODGE,std,wagon,fwd,103.3,174.6,64.6,2535,ohc,4,122,2bbl,3.34,88,24,30
8948.0,1,TOYOTA,std,sedan,fwd,102.4,175.6,66.5,2326,ohc,4,122,mpfi,3.31,92,29,34
8949.0,1,NISSAN,std,hatchback,fwd,97.2,173.4,65.2,2324,ohc,4,120,2bbl,3.33,97,27,34
9095.0,1,HONDA,std,hatchback,fwd,96.5,167.5,65.2,2289,ohc,4,110,1bbl,3.15,86,27,33
9233.0,1,SUBARU,std,sedan,4wd,97.0,172.0,65.4,2385,ohcf,4,108,2bbl,3.62,82,24,25
9258.0,1,TOYOTA,std,sedan,fwd,95.7,166.3,64.4,2140,ohc,4,98,2bbl,3.19,70,28,34
9279.0,1,MITSUBISHI,std,sedan,fwd,96.3,172.4,65.4,2403,ohc,4,110,spdi,3.17,116,23,30
9279.0,1,MITSUBISHI,turbo,sedan,fwd,96.3,172.4,65.4,2403,ohc,4,110,spdi,3.17,116,23,30
9295.0,1,RENAULT,std,wagon,fwd,96.1,181.5,66.5,2579,ohc,4,132,mpfi,3.46,90,23,31
9298.0,1,TOYOTA,std,sedan,rwd,94.5,168.7,64.0,2265,dohc,4,98,mpfi,3.24,112,26,29
9495.0,1,VOLKSWAGEN,turbo,sedan,fwd,97.3,171.7,65.5,2319,ohc,4,97,idi,3.01,68,37,42
9538.0,1,TOYOTA,std,hatchback,rwd,94.5,168.7,64.0,2300,dohc,4,98,mpfi,3.24,112,26,29
9549.0,1,NISSAN,std,sedan,fwd,97.2,173.4,65.2,2302,ohc,4,120,2bbl,3.33,97,27,34
9639.0,1,TOYOTA,std,hardtop,rwd,98.4,176.2,65.6,2536,ohc,4,146,mpfi,3.62,116,24,30
9895.0,1,RENAULT,std,hatchback,fwd,96.1,176.8,66.6,2460,ohc,4,132,mpfi,3.46,90,23,31
9959.0,1,MITSUBISHI,turbo,hatchback,fwd,96.3,173.0,65.4,2370,ohc,4,110,spdi,3.17,116,23,30
9960.0,1,SUBARU,std,sedan,fwd,97.2,172.0,65.4,2340,ohcf,4,108,mpfi,3.62,94,26,32
9980.0,1,VOLKSWAGEN,std,hatchback,fwd,94.5,165.7,64.0,2221,ohc,4,109,mpfi,3.19,90,24,29
9988.0,1,TOYOTA,std,hatchback,fwd,102.4,175.6,66.5,2414,ohc,4,122,mpfi,3.31,92,27,32
9989.0,1,TOYOTA,std,hatchback,rwd,98.4,176.2,65.6,2551,ohc,4,146,mpfi,3.62,116,24,30
9995.0,1,VOLKSWAGEN,std,sedan,fwd,97.3,171.7,65.5,2300,ohc,4,109,mpfi,3.19,100,26,32
10198.0,1,SUBARU,std,wagon,fwd,97.0,173.5,65.4,2455,ohcf,4,108,mpfi,3.62,94,25,31
10245.0,1,MAZDA,std,sedan,fwd,98.8,177.8,66.5,2410,ohc,4,122,2bbl,3.39,84,26,32
10295.0,1,HONDA,std,sedan,fwd,96.5,175.4,62.5,2372,ohc,4,110,1bbl,3.15,86,27,33
10345.0,1,HONDA,std,sedan,fwd,96.5,169.1,66.0,2293,ohc,4,110,2bbl,3.15,100,25,31
10595.0,1,MAZDA,std,hatchback,fwd,98.8,177.8,66.5,2385,ohc,4,122,2bbl,3.39,84,26,32
10698.0,1,TOYOTA,turbo,sedan,fwd,102.4,175.6,66.5,2480,ohc,4,110,idi,3.27,73,30,33
10795.0,1,MAZDA,std,sedan,fwd,98.8,177.8,66.5,2443,ohc,4,122,idi,3.39,64,36,42
10898.0,1,TOYOTA,std,sedan,fwd,102.4,175.6,66.5,2414,ohc,4,122,mpfi,3.31,92,27,32
10945.0,1,MAZDA,std,hatchback,rwd,95.3,169.0,65.7,2380,rotor,2,70,4bbl,3.33,101,17,23
11048.0,1,ISUZU,std,hatchback,rwd,96.0,172.6,65.2,2734,ohc,4,119,spfi,3.43,90,24,29
11199.0,1,TOYOTA,std,hardtop,rwd,98.4,176.2,65.6,2679,ohc,4,146,mpfi,3.62,116,24,30
11245.0,1,MAZDA,std,hatchback,fwd,98.8,177.8,66.5,2425,ohc,4,122,2bbl,3.39,84,26,32
11248.0,1,TOYOTA,std,hatchback,fwd,102.4,175.6,66.5,2458,ohc,4,122,mpfi,3.31,92,27,32
11259.0,1,SUBARU,turbo,sedan,4wd,97.0,172.0,65.4,2510,ohcf,4,108,mpfi,3.62,111,24,29
11549.0,1,TOYOTA,std,hatchback,rwd,98.4,176.2,65.6,2714,ohc,4,146,mpfi,3.62,116,24,30
11595.0,1,VOLKSWAGEN,std,convertible,fwd,94.5,159.3,64.2,2254,ohc,4,109,mpfi,3.19,90,24,29
11694.0,1,SUBARU,turbo,wagon,4wd,96.9,173.6,65.4,2650,ohcf,4,108,mpfi,3.62,111,23,23
11845.0,1,MAZDA,std,hatchback,rwd,95.3,169.0,65.7,2380,rotor,2,70,4bbl,3.33,101,17,23
11850.0,1,SAAB,std,hatchback,fwd,99.1,186.6,66.5,2658,ohc,4,121,mpfi,3.54,110,21,28
11900.0,1,PEUGEOT,std,sedan,rwd,107.9,186.7,68.4,3020,l,4,120,mpfi,3.46,97,19,24
12170.0,1,SAAB,std,sedan,fwd,99.1,186.6,66.5,2695,ohc,4,121,mpfi,3.54,110,21,28
12290.0,1,VOLKSWAGEN,std,wagon,fwd,100.4,183.1,66.9,2563,ohc,4,109,mpfi,3.19,88,25,31
12440.0,1,PEUGEOT,std,wagon,rwd,114.2,198.9,68.4,3230,l,4,120,mpfi,3.46,97,19,24
12629.0,1,MITSUBISHI,turbo,hatchback,fwd,95.9,173.2,66.3,2833,ohc,4,156,spdi,3.58,145,19,24
12764.0,1,PLYMOUTH,turbo,hatchback,rwd,95.9,173.2,66.3,2818,ohc,4,156,spdi,3.59,145,19,24
12940.0,1,VOLVO,std,sedan,rwd,104.3,188.8,67.2,2912,ohc,4,141,mpfi,3.78,114,23,28
12945.0,1,HONDA,std,sedan,fwd,96.5,175.4,65.2,2465,ohc,4,110,mpfi,3.15,101,24,28
12964.0,1,DODGE,turbo,hatchback,fwd,95.9,173.2,66.3,2811,ohc,4,156,mfi,3.6,145,19,24
13200.0,1,PEUGEOT,turbo,sedan,rwd,107.9,186.7,68.4,3197,l,4,152,idi,3.7,95,28,33
13295.0,1,VOLKSWAGEN,std,sedan,fwd,100.4,180.2,66.9,2661,ohc,5,136,mpfi,3.19,110,19,24
13415.0,1,VOLVO,std,wagon,rwd,104.3,188.8,67.2,3034,ohc,4,141,mpfi,3.78,114,23,28
13495.0,1,ALFA-ROMEO,std,convertible,rwd,88.6,168.8,64.1,2548,dohc,4,130,mpfi,3.47,111,21,27
13499.0,1,NISSAN,std,sedan,fwd,100.4,181.7,66.5,3095,ohcv,6,181,mpfi,3.43,152,17,22
13499.0,1,NISSAN,std,sedan,fwd,100.4,184.6,66.5,3060,ohcv,6,181,mpfi,3.43,152,19,25
13645.0,1,MAZDA,std,hatchback,rwd,95.3,169.0,65.7,2385,rotor,2,70,4bbl,3.33,101,17,23
13845.0,1,VOLKSWAGEN,turbo,sedan,fwd,100.4,180.2,66.9,2579,ohc,4,97,idi,3.01,68,33,38
13860.0,1,PEUGEOT,turbo,wagon,rwd,114.2,198.9,68.4,3430,l,4,152,idi,3.7,95,25,25
13950.0,1,AUDI,std,sedan,fwd,99.8,176.6,66.2,2337,ohc,4,109,mpfi,3.19,102,24,30
14399.0,1,NISSAN,std,wagon,fwd,100.4,184.6,66.5,3296,ohcv,6,181,mpfi,3.43,152,17,22
14489.0,1,MITSUBISHI,turbo,hatchback,fwd,95.9,173.2,66.3,2926,ohc,4,156,spdi,3.59,145,19,24
14869.0,1,MITSUBISHI,turbo,hatchback,fwd,95.9,173.2,66.3,2921,ohc,4,156,spdi,3.59,145,19,24
15040.0,1,SAAB,std,hatchback,fwd,99.1,186.6,66.5,2707,ohc,4,121,mpfi,2.54,110,21,28
15250.0,2,AUDI,std,sedan,fwd,99.8,177.3,66.3,2507,ohc,5,136,mpfi,3.19,110,19,25
15510.0,2,SAAB,std,sedan,fwd,99.1,186.6,66.5,2758,ohc,4,121,mpfi,3.54,110,21,28
15580.0,2,PEUGEOT,std,sedan,rwd,107.9,186.7,68.4,3075,l,4,120,mpfi,3.46,95,19,24
15645.0,2,MAZDA,std,hatchback,rwd,95.3,169.0,65.7,2500,rotor,2,80,mpfi,3.33,135,16,23
15690.0,2,TOYOTA,std,sedan,rwd,104.5,187.8,66.5,3131,dohc,6,171,mpfi,3.27,156,20,24
15750.0,2,TOYOTA,std,wagon,rwd,104.5,187.8,66.5,3151,dohc,6,161,mpfi,3.27,156,19,24
15985.0,2,VOLVO,std,sedan,rwd,104.3,188.8,67.2,2935,ohc,4,141,mpfi,3.78,114,24,28
15998.0,2,TOYOTA,std,hatchback,rwd,102.9,183.5,67.7,3016,dohc,6,171,mpfi,3.27,161,19,24
16430.0,2,BMW,std,sedan,rwd,101.2,176.8,64.8,2395,ohc,4,108,mpfi,3.5,101,23,29
16500.0,2,ALFA-ROMEO,std,hatchback,rwd,94.5,171.2,65.5,2823,ohcv,6,152,mpfi,2.68,154,19,26
16500.0,2,ALFA-ROMEO,std,convertible,rwd,88.6,168.8,64.1,2548,dohc,4,130,mpfi,3.47,111,21,27
16503.0,2,MERCURY,turbo,hatchback,rwd,102.7,178.4,68.0,2910,ohc,4,140,mpfi,3.78,175,19,24
16515.0,2,VOLVO,std,wagon,rwd,104.3,188.8,67.2,3042,ohc,4,141,mpfi,3.78,114,24,28
16558.0,2,TOYOTA,std,hatchback,rwd,102.9,183.5,67.7,2976,dohc,6,171,mpfi,3.27,161,20,24
16630.0,2,PEUGEOT,std,sedan,rwd,107.9,186.7,68.4,3075,l,4,120,mpfi,3.46,97,19,24
16695.0,2,PEUGEOT,std,wagon,rwd,114.2,198.9,68.4,3285,l,4,120,mpfi,3.46,95,19,24
16845.0,2,VOLVO,std,sedan,rwd,109.1,188.8,68.9,2952,ohc,4,141,mpfi,3.78,114,23,28
16900.0,2,PEUGEOT,turbo,sedan,rwd,107.9,186.7,68.4,3252,l,4,152,idi,3.7,95,28,33
16925.0,2,BMW,std,sedan,rwd,101.2,176.8,64.8,2395,ohc,4,108,mpfi,3.5,101,23,29
17075.0,2,PEUGEOT,turbo,wagon,rwd,114.2,198.9,68.4,3485,l,4,152,idi,3.7,95,25,25
17199.0,2,NISSAN,std,hatchback,rwd,91.3,170.7,67.9,3071,ohcv,6,181,mpfi,3.43,160,19,25
17450.0,2,AUDI,std,sedan,4wd,99.4,176.6,66.4,2824,ohc,5,136,mpfi,3.19,115,18,22
17669.0,2,TOYOTA,std,convertible,rwd,98.4,176.2,65.6,2975,ohc,4,146,mpfi,3.62,116,24,30
17710.0,2,AUDI,std,sedan,fwd,105.8,192.7,71.4,2844,ohc,5,136,mpfi,3.19,110,19,25
17859.167,2,AUDI,turbo,hatchback,4wd,99.5,178.2,67.9,3053,ohc,5,131,mpfi,3.13,160,16,22
17950.0,2,PEUGEOT,turbo,sedan,rwd,107.9,186.7,68.4,3252,l,4,152,idi,3.7,95,28,33
18150.0,2,SAAB,turbo,hatchback,fwd,99.1,186.6,66.5,2808,dohc,4,121,mpfi,3.54,160,19,26
18150.0,2,PEUGEOT,turbo,sedan,rwd,108.0,186.7,68.3,3130,l,4,134,mpfi,3.61,142,18,24
18280.0,2,MAZDA,std,sedan,rwd,104.9,175.0,66.1,2670,ohc,4,140,mpfi,3.76,120,19,27
18344.0,2,MAZDA,std,sedan,rwd,104.9,175.0,66.1,2700,ohc,4,134,idi,3.43,72,31,39
18399.0,2,NISSAN,std,hatchback,rwd,99.2,178.5,67.9,3139,ohcv,6,181,mpfi,3.43,160,19,25
18420.0,2,VOLVO,turbo,sedan,rwd,104.3,188.8,67.2,3045,ohc,4,130,mpfi,3.62,162,17,22
18620.0,2,SAAB,turbo,sedan,fwd,99.1,186.6,66.5,2847,dohc,4,121,mpfi,3.54,160,19,26
18920.0,2,AUDI,std,wagon,fwd,105.8,192.7,71.4,2954,ohc,5,136,mpfi,3.19,110,19,25
18950.0,2,VOLVO,turbo,wagon,rwd,104.3,188.8,67.2,3157,ohc,4,130,mpfi,3.62,162,17,22
19045.0,2,VOLVO,turbo,sedan,rwd,109.1,188.8,68.8,3049,ohc,4,141,mpfi,3.78,160,19,25
19699.0,2,NISSAN,turbo,hatchback,rwd,91.3,170.7,67.9,3139,ohcv,6,181,mpfi,3.43,200,17,23
20970.0,2,BMW,std,sedan,rwd,101.2,176.8,64.8,2710,ohc,6,164,mpfi,3.31,121,21,28
21105.0,2,BMW,std,sedan,rwd,101.2,176.8,64.8,2765,ohc,6,164,mpfi,3.31,121,21,28
21485.0,2,VOLVO,std,sedan,rwd,109.1,188.8,68.9,3012,ohcv,6,173,mpfi,3.58,134,18,23
22018.0,2,PORSCHE,std,hatchback,rwd,94.5,168.9,68.3,2778,ohc,4,151,mpfi,3.94,143,19,27
22470.0,2,VOLVO,turbo,sedan,rwd,109.1,188.8,68.9,3217,ohc,6,145,idi,3.01,106,26,27
22625.0,2,VOLVO,turbo,sedan,rwd,109.1,188.8,68.9,3062,ohc,4,141,mpfi,3.78,114,19,25
23875.0,2,AUDI,turbo,sedan,fwd,105.8,192.7,71.4,3086,ohc,5,131,mpfi,3.13,140,17,20
24565.0,2,BMW,std,sedan,rwd,103.5,189.0,66.9,3055,ohc,6,164,mpfi,3.31,121,20,25
25552.0,3,BUICK,turbo,sedan,rwd,110.0,190.9,70.3,3515,ohc,5,183,idi,3.58,123,22,25
28176.0,3,BUICK,turbo,hardtop,rwd,106.7,187.5,70.3,3495,ohc,5,183,idi,3.58,123,22,25
28248.0,3,BUICK,turbo,wagon,rwd,110.0,190.9,70.3,3750,ohc,5,183,idi,3.58,123,22,25
30760.0,3,BMW,std,sedan,rwd,103.5,189.0,66.9,3230,ohc,6,209,mpfi,3.62,182,16,22
31400.5,3,PORSCHE,std,hatchback,rwd,98.4,175.7,72.3,3366,dohcv,8,203,mpfi,3.94,288,17,28
31600.0,3,BUICK,turbo,sedan,rwd,115.6,202.6,71.7,3770,ohc,5,183,idi,3.58,123,22,25
32250.0,3,JAGUAR,std,sedan,rwd,113.0,199.6,69.6,4066,dohc,6,258,mpfi,3.63,176,15,19
32528.0,3,PORSCHE,std,hardtop,rwd,89.5,168.9,65.0,2756,ohcf,6,194,mpfi,3.74,207,17,25
34028.0,3,PORSCHE,std,hardtop,rwd,89.5,168.9,65.0,2756,ohcf,6,194,mpfi,3.74,207,17,25
34184.0,3,BUICK,std,sedan,rwd,115.6,202.6,71.7,3740,ohcv,8,234,mpfi,3.46,155,16,18
35056.0,3,BUICK,std,convertible,rwd,96.6,180.3,70.5,3685,ohcv,8,234,mpfi,3.46,155,16,18
35550.0,4,JAGUAR,std,sedan,rwd,113.0,199.6,69.6,4066,dohc,6,258,mpfi,3.63,176,15,19
36000.0,4,JAGUAR,std,sedan,rwd,102.0,191.7,70.6,3950,ohcv,12,326,mpfi,3.54,262,13,17
36880.0,4,BMW,std,sedan,rwd,110.0,197.0,70.9,3505,ohc,6,209,mpfi,3.62,182,15,20
37028.0,4,PORSCHE,std,convertible,rwd,89.5,168.9,65.0,2800,ohcf,6,194,mpfi,3.74,207,17,25
40960.0,4,BUICK,std,sedan,rwd,120.9,208.1,71.7,3900,ohcv,8,308,mpfi,3.8,184,14,16
41315.0,4,BMW,std,sedan,rwd,103.5,193.8,67.9,3380,ohc,6,209,mpfi,3.62,182,16,22
45400.0,4,BUICK,std,hardtop,rwd,112.0,199.2,72.0,3715,ohcv,8,304,mpfi,3.8,184,14,16
